model,SmartMem,Mem Version,step,pub valid,pub avg %ile,pub median %ile,priv valid,priv avg %ile,priv median %ile,
dspredict-easy test,,,,,,,,,,
Gemini 3 Flash,-,-,,8/8,52.1,54,6/6,63.8,61.7,
Claude sonnet 4.6,-,-,,7/8,46.4,50.3,5/6,49.2,68.1,
GPT-5.2,-,-,,8/8,43.6,41,6/6,55.9,51.5,
Qwen3-235B,-,-,,6/8,44.2,59,5/6,53.9,67.1,"v1: 0.8*task desc + 0.2 * score norm, no threshold"
Qwen3-Coder-480B,-,-,,8/8,43.7,43.9,6/6,51.7,60.2,"v2: 1.0*task desc, no threshold"
Gemini 2.5 Flash,-,-,,7/8,40.3,,5/6,38.2,,
Claude Haiku 4.5,-,-,,7/8,33.7,,5/6,35.8,,
GPT-5.1,-,-,,8/8,41.2,,6/6,56.2,,
GPT5-mini,-,-,,5/8,27.3,,4/6,31.7,,
Qwen3-30B-A3B,-,-,,8/8,36.2,,6/6,35.3,,
Qwen3-8B,-,-,,2/8,8.2,32.6,0/6,0,0,"v4: 1.0*task desc, no threshold, v2 add caveat from claude, gemini and GPT"
Qwen3-8B,SFT,-,,2/8,7.5,29.9,2/6,16.9,,
Qwen3-8B,yes,v2,,3/8,22.8,,2/6,22.4,,
Qwen3-14B,-,-,,6/8,30.2,39.7,4/6,26,37.8,
Qwen3-14B,SFT,-,,6/8,33.4,39.2,4/6,28,42,
Qwen3-14B,yes,v2,,6/8,41.3,56.5,5/6,47.1,47.3,
Gemini 3 Flash,yes,v2,,8/8,45.9,,6/6,62.2,,
Gemini 3 Flash,yes,v4（v2 + caveat update）,,8/8,53.9,53.3,6/6,63.8,65.5,
Claude sonnet 4.6,yes,v1,,7/8,42.3,,5/6,49.2,,
Claude sonnet 4.6,yes,v2 w/o per-turn,step1,8/8,45.3,49.2,6/6,59.8,65.3,
Claude sonnet 4.6,yes,ACE,step1,8/8,46.9,,,,,
Claude sonnet 4.6,yes,v2,step1,8/8,48.8,53.2,5/6,63.5,71.2,
Claude sonnet 4.6,yes,ACE,step2,8/8,54.7,,,,,
Claude sonnet 4.6,yes,v3（v2 + delta update）,step2,8/8,58.9,59.6,6/6,66,68.1,
Claude sonnet 4.6,yes,v4（v2 + caveat update）,step2,8/8,60.2,62.9,6/6,72.3,69.3,
Claude sonnet 4.6,yes,v5（v2 + mixed update）,step2,8/8,61.8,64.9,6/6,61.9,71.7,
Claude sonnet 4.6,yes,ACE,step3,8/8,57.1,,,,,
